Time,Values
0,0.002249735
0.0005,0.106069532
0.001,0.160128188
0.0015,0.174140563
0.002,0.140481259
0.0025,0.103560409
0.003,0.081969419
0.0035,0.101949196
0.004,0.162375127
0.0045,0.239284967
0.005,0.277689277
0.0055,0.266233746
0.006,0.218226796
0.0065,0.175148116
0.007,0.150052697
0.0075,0.138733676
0.008,0.111637109
0.0085,0.066578743
0.009,0.013957897
0.0095,-0.027912713
0.01,-0.064036677
0.0105,-0.094809618
0.011,-0.125975778
0.0115,-0.153051657
0.012,-0.1856266
0.0125,-0.201248714
0.013,-0.192922519
0.0135,-0.178888282
0.014,-0.17237867
0.0145,-0.163714622
0.015,-0.155169603
0.0155,-0.142190542
0.016,-0.127922242
0.0165,-0.114092778
0.017,-0.092823707
0.0175,-0.052387405
0.018,-0.00702129
0.0185,0.016940439
0.019,0.012590172
0.0195,-0.002653572
0.02,-0.014375656
0.0205,-0.025654711
0.021,-0.035998884
0.0215,-0.039643783
0.022,-0.03352852
0.0225,-0.035482772
0.023,-0.054695937
0.0235,-0.072585241
0.024,-0.068493998
0.0245,-0.048927529
0.025,-0.022444781
0.0255,-0.013951038
0.026,-0.012091632
0.0265,-0.009554942
0.027,-0.018185294
0.0275,-0.036735601
0.028,-0.040311998
0.0285,-0.029231277
0.029,-0.003263586
0.0295,0.019791832
0.03,0.030364066
0.0305,0.026571663
0.031,0.028855897
0.0315,0.027000317
0.032,0.025358707
0.0325,0.030969482
0.033,0.049879343
0.0335,0.06993811
0.034,0.096942761
0.0345,0.124385839
0.035,0.147671312
0.0355,0.144557715
0.036,0.120949521
0.0365,0.0813374
0.037,0.043564741
0.0375,0.008533677
0.038,-0.007509287
0.0385,-0.010089456
0.039,-0.010315492
0.0395,-0.013557736
0.04,-0.008875592
0.0405,-0.01595815
0.041,-0.020066394
0.0415,-0.024488758
0.042,-0.036401379
0.0425,-0.070315917
0.043,-0.108752689
0.0435,-0.151083555
0.044,-0.174224808
0.0445,-0.176938872
0.045,-0.157045397
0.0455,-0.136028009
0.046,-0.118322852
0.0465,-0.122416351
0.047,-0.137322841
0.0475,-0.155148752
0.048,-0.15319698
0.0485,-0.139798146
0.049,-0.115369028
0.0495,-0.088721094
0.05,-0.047295019
0.0505,0.015263423
0.051,0.089926833
0.0515,0.131725087
0.052,0.11918611
0.0525,0.055734181
0.053,0.006659457
0.0535,0.003037228
0.054,0.041378571
0.0545,0.086453273
0.055,0.124918655
0.0555,0.135833027
0.056,0.131170921
0.0565,0.116145188
0.057,0.098815015
0.0575,0.082128693
0.058,0.090038203
0.0585,0.113609394
0.059,0.136798329
0.0595,0.133419269
0.06,0.103592223
0.0605,0.051882298
0.061,0.000234572
0.0615,-0.040364346
0.062,-0.064023811
0.0625,-0.076057886
0.063,-0.081537294
0.0635,-0.077447001
0.064,-0.056003922
0.0645,-0.024641322
0.065,0.010871158
0.0655,0.027199757
0.066,0.014277427
0.0665,-0.001111587
0.067,0.013358562
0.0675,0.037232221
0.068,0.044950742
0.0685,0.0327985
0.069,0.018968286
0.0695,0.022843958
0.07,0.05328293
0.0705,0.0926152
0.071,0.12727882
0.0715,0.153792664
0.072,0.165489004
0.0725,0.146364882
0.073,0.106494192
0.0735,0.069342134
0.074,0.043333809
0.0745,0.017046068
0.075,-0.015772003
0.0755,-0.048213184
0.076,-0.072306053
0.0765,-0.095709596
0.077,-0.123225749
0.0775,-0.153015663
0.078,-0.18547447
0.0785,-0.210372542
0.079,-0.219081175
0.0795,-0.222517916
0.08,-0.208115654
0.0805,-0.17078263
0.081,-0.1325596
0.0815,-0.103381176
0.082,-0.071115883
0.0825,-0.042761946
0.083,-0.007443304
0.0835,0.034632024
0.084,0.074797183
0.0845,0.101361742
0.085,0.126102294
0.0855,0.140038436
0.086,0.129977541
0.0865,0.088734059
0.087,0.039779474
0.0875,-0.000736585
0.088,-0.009102656
0.0885,0.007822036
0.089,0.04319487
0.0895,0.074884498
0.09,0.096342014
0.0905,0.096140893
0.091,0.07624469
0.0915,0.03682249
0.092,0.002616443
0.0925,-0.023931372
0.093,-0.050264829
0.0935,-0.081309053
0.094,-0.087478221
0.0945,-0.062180104
0.095,-0.011161118
0.0955,0.021380915
0.096,0.00501712
0.0965,-0.048315727
0.097,-0.082470258
0.0975,-0.079680001
0.098,-0.028563323
0.0985,0.050105918
0.099,0.134808613
0.0995,0.180890199
0.1,0.181250871
0.1005,0.143273328
0.101,0.098357267
0.1015,0.061566509
0.102,0.04609493
0.1025,0.041470899
0.103,0.044466339
0.1035,0.037986744
0.104,0.022818506
0.1045,-0.002236557
0.105,-0.021369684
0.1055,-0.026965226
0.106,-0.020444654
0.1065,-0.027285094
0.107,-0.03245477
0.1075,-0.01429918
0.108,0.013672991
0.1085,0.035785238
0.109,0.056719764
0.1095,0.066524813
0.11,0.063998696
0.1105,0.046538979
0.111,0.014219142
0.1115,-0.023896208
0.112,-0.055202196
0.1125,-0.082210501
0.113,-0.11329502
0.1135,-0.138804304
0.114,-0.146304129
0.1145,-0.1349373
0.115,-0.11332437
0.1155,-0.081698487
0.116,-0.049410522
0.1165,-0.025346193
0.117,-0.014783235
0.1175,-0.006290736
0.118,0.00539565
0.1185,0.029714348
0.119,0.052887887
0.1195,0.058567203
0.12,0.02737158
0.1205,0.003891012
0.121,0.009843238
0.1215,0.024068268
0.122,0.024220126
0.1225,0.031371773
0.123,0.041144654
0.1235,0.053453466
0.124,0.042879365
0.1245,0.010142044
0.125,-0.025896537
0.1255,-0.03187017
0.126,-0.024752398
0.1265,-0.024732896
0.127,-0.048576493
0.1275,-0.069047135
0.128,-0.077167139
0.1285,-0.069324158
0.129,-0.067244298
0.1295,-0.066264167
0.13,-0.069470655
0.1305,-0.065663155
0.131,-0.069608488
0.1315,-0.078190069
0.132,-0.097172673
0.1325,-0.094414186
0.133,-0.067190144
0.1335,-0.021734272
0.134,0.030937491
0.1345,0.094386814
0.135,0.119343092
0.1355,0.102814064
0.136,0.070305226
0.1365,0.06062655
0.137,0.071332385
0.1375,0.090548532
0.138,0.094635723
0.1385,0.097125194
0.139,0.108098296
0.1395,0.128269592
0.14,0.131020965
0.1405,0.112073921
0.141,0.067767895
0.1415,0.017268901
0.142,-0.024200298
0.1425,-0.045278595
0.143,-0.056957273
0.1435,-0.067649715
0.144,-0.079124621
0.1445,-0.087937101
0.145,-0.098875767
0.1455,-0.109677118
0.146,-0.111038221
0.1465,-0.101522661
0.147,-0.101112957
0.1475,-0.09183912
0.148,-0.050235095
0.1485,0.008835549
0.149,0.051915653
0.1495,0.072570077
0.15,0.074082102
0.1505,0.07349409
0.151,0.079852516
0.1515,0.083299793
0.152,0.079886068
0.1525,0.086957445
0.153,0.110374041
0.1535,0.134374346
0.154,0.141957489
0.1545,0.132416751
0.155,0.112329707
0.1555,0.093476609
0.156,0.083275969
0.1565,0.078763853
0.157,0.07746613
0.1575,0.077794736
0.158,0.074471691
0.1585,0.072730124
0.159,0.073936209
0.1595,0.059526246
0.16,0.012445842
0.1605,-0.072448801
0.161,-0.146584202
0.1615,-0.17077649
0.162,-0.162696472
0.1625,-0.147665257
0.163,-0.128994125
0.1635,-0.107841284
0.164,-0.08216434
0.1645,-0.053112654
0.165,-0.03682328
0.1655,-0.023085131
0.166,0.007933403
0.1665,0.046516186
0.167,0.06653707
0.1675,0.066010225
0.168,0.060022325
0.1685,0.064697437
0.169,0.075195139
0.1695,0.076948589
0.17,0.06617435
0.1705,0.052413999
0.171,0.046868048
0.1715,0.042292853
0.172,0.030338926
0.1725,0.011216801
0.173,-0.012422636
0.1735,-0.03905199
0.174,-0.079048599
0.1745,-0.108515246
0.175,-0.101695637
0.1755,-0.077247892
0.176,-0.06519997
0.1765,-0.073270516
0.177,-0.096876103
0.1775,-0.109185402
0.178,-0.101959943
0.1785,-0.093504383
0.179,-0.090929731
0.1795,-0.083459319
0.18,-0.068255898
0.1805,-0.055689897
0.181,-0.046850504
0.1815,-0.041251969
0.182,-0.039936957
0.1825,-0.037896865
0.183,-0.026115266
0.1835,-0.00246222
0.184,0.02744501
0.1845,0.056960295
0.185,0.082531536
0.1855,0.103634031
0.186,0.121075562
0.1865,0.13357651
0.187,0.134875454
0.1875,0.108344937
0.188,0.077942562
0.1885,0.064455136
0.189,0.064090432
0.1895,0.079505318
0.19,0.111740228
0.1905,0.136519405
0.191,0.150639641
0.1915,0.158392314
0.192,0.151128669
0.1925,0.122251045
0.193,0.080794255
0.1935,0.030180909
0.194,-0.026765321
0.1945,-0.084485591
0.195,-0.129308492
0.1955,-0.153152577
0.196,-0.149718232
0.1965,-0.130449216
0.197,-0.119384626
0.1975,-0.1288543
0.198,-0.138502827
0.1985,-0.124206449
0.199,-0.081804623
0.1995,-0.037489111
0.2,-0.006002739
0.2005,0.000329658
0.201,-0.023324551
0.2015,-0.047225397
0.202,-0.045175301
0.2025,-0.022646158
0.203,0.006896537
0.2035,0.038489856
0.204,0.061305047
0.2045,0.076281898
0.205,0.085857537
0.2055,0.083648243
0.206,0.076163513
0.2065,0.08962542
0.207,0.120511356
0.2075,0.135305819
0.208,0.109426844
0.2085,0.059832918
0.209,0.016430712
0.2095,-0.011060287
0.21,-0.039942212
0.2105,-0.07035612
0.211,-0.096564044
0.2115,-0.116053961
0.212,-0.127670911
0.2125,-0.137289843
0.213,-0.141826722
0.2135,-0.124619038
0.214,-0.09804917
0.2145,-0.086878316
0.215,-0.07939868
0.2155,-0.042035292
0.216,0.009488895
0.2165,0.059626002
0.217,0.098314706
0.2175,0.118575001
0.218,0.125653463
0.2185,0.12750734
0.219,0.122141052
0.2195,0.117836253
0.22,0.123417281
0.2205,0.135750207
