Time,Values
0,0.002249735
0.0005,0.302173538
0.001,0.491988358
0.0015,0.549288596
0.002,0.507786703
0.0025,0.410046526
0.003,0.323470365
0.0035,0.242328684
0.004,0.181757317
0.0045,0.120385671
0.005,0.075496492
0.0055,0.025247661
0.006,-0.015013341
0.0065,-0.057249019
0.007,-0.07957054
0.0075,-0.107196036
0.008,-0.123766759
0.0085,-0.145370537
0.009,-0.156715799
0.0095,-0.174339937
0.01,-0.178196631
0.0105,-0.185888076
0.011,-0.18665444
0.0115,-0.194227848
0.012,-0.192917528
0.0125,-0.199935806
0.013,-0.20191805
0.0135,-0.215066576
0.014,-0.217487691
0.0145,-0.222930484
0.015,-0.217222107
0.0155,-0.216834965
0.016,-0.206789991
0.0165,-0.2023619
0.017,-0.188102477
0.0175,-0.181490169
0.018,-0.174017794
0.0185,-0.178736632
0.019,-0.172676774
0.0195,-0.169610649
0.02,-0.157391598
0.0205,-0.148240468
0.021,-0.1270625
0.0215,-0.112753879
0.022,-0.097475905
0.0225,-0.098519808
0.023,-0.093441737
0.0235,-0.089174173
0.024,-0.068228752
0.0245,-0.050455155
0.025,-0.023843252
0.0255,-0.008465287
0.026,0.013222051
0.0265,0.022876463
0.027,0.040349486
0.0275,0.052143077
0.028,0.07575216
0.0285,0.09154058
0.029,0.116825154
0.0295,0.129329759
0.03,0.150707506
0.0305,0.157507368
0.031,0.166155817
0.0315,0.155610957
0.032,0.155310906
0.0325,0.152276343
0.033,0.163156523
0.0335,0.164967024
0.034,0.173701595
0.0345,0.165855116
0.035,0.164212024
0.0355,0.151881086
0.036,0.152028142
0.0365,0.142511001
0.037,0.141219165
0.0375,0.123682356
0.038,0.110119782
0.0385,0.086125627
0.039,0.077388606
0.0395,0.064425932
0.04,0.058362289
0.0405,0.042282939
0.041,0.031649322
0.0415,0.016018375
0.042,0.009824418
0.0425,-0.000587074
0.043,-0.002521897
0.0435,-0.009739646
0.044,-0.006918983
0.0445,-0.004971079
0.045,0.004157621
0.0455,0.005803181
0.046,0.005517557
0.0465,-0.004471967
0.047,-0.0111622
0.0475,-0.0149639
0.048,-0.015516199
0.0485,-0.01745888
0.049,-0.01219574
0.0495,-0.009627287
0.05,-0.009923136
0.0505,-0.012142167
0.051,-0.011206458
0.0515,-0.010133183
0.052,-0.00763653
0.0525,-0.003085814
0.053,0.00019848
0.0535,-0.001799367
0.054,-0.011107397
0.0545,-0.021245909
0.055,-0.032249696
0.0555,-0.038637436
0.056,-0.038760031
0.0565,-0.037318969
0.057,-0.044189145
0.0575,-0.052159228
0.058,-0.056893323
0.0585,-0.058718461
0.059,-0.065744565
0.0595,-0.073620428
0.06,-0.08397516
0.0605,-0.088831491
0.061,-0.084803583
0.0615,-0.072524439
0.062,-0.066470725
0.0625,-0.059247024
0.063,-0.050603327
0.0635,-0.036420736
0.064,-0.029179578
0.0645,-0.027687128
0.065,-0.030639632
0.0655,-0.023201516
0.066,-0.009635288
0.0665,0.004454035
0.067,0.006116297
0.0675,0.006467421
0.068,0.008205849
0.0685,0.020338617
0.069,0.030742621
0.0695,0.041872414
0.07,0.046400909
0.0705,0.052112706
0.071,0.049120328
0.0715,0.048088707
0.072,0.0434539
0.0725,0.045817789
0.073,0.04260773
0.0735,0.039200991
0.074,0.028568262
0.0745,0.029383428
0.075,0.025744154
0.0755,0.034143023
0.076,0.03284054
0.0765,0.03277468
0.077,0.016546851
0.0775,0.011972064
0.078,0.004324033
0.0785,0.014780533
0.079,0.02008961
0.0795,0.029924804
0.08,0.018916769
0.0805,0.014474739
0.081,0.000909967
0.0815,0.003337686
0.082,-0.004362335
0.0825,0.000269622
0.083,-0.00920746
0.0835,-0.0024016
0.084,-0.007121728
0.0845,-0.000702227
0.085,-0.012866194
0.0855,-0.011347766
0.086,-0.021183523
0.0865,-0.016456897
0.087,-0.028940926
0.0875,-0.024337147
0.088,-0.027432466
0.0885,-0.016411774
0.089,-0.023324733
0.0895,-0.017525637
0.09,-0.026657472
0.0905,-0.020693426
0.091,-0.031253477
0.0915,-0.031815051
0.092,-0.044600983
0.0925,-0.038779034
0.093,-0.037338041
0.0935,-0.024397641
0.094,-0.030801681
0.0945,-0.036458021
0.095,-0.053635753
0.0955,-0.053298253
0.096,-0.054609938
0.0965,-0.048224543
0.097,-0.052781611
0.0975,-0.053582612
0.098,-0.056801741
0.0985,-0.047042762
0.099,-0.040289259
0.0995,-0.032804856
0.1,-0.0320116
0.1005,-0.036548117
0.101,-0.041817427
0.1015,-0.040897076
0.102,-0.034987334
0.1025,-0.025604708
0.103,-0.010163614
0.1035,0.006301319
0.104,0.02613547
0.1045,0.041494876
0.105,0.052892366
0.1055,0.057000557
0.106,0.066990047
0.1065,0.069242248
0.107,0.073283863
0.1075,0.065440869
0.108,0.057370881
0.1085,0.041853638
0.109,0.0387645
0.1095,0.033098293
0.11,0.039022169
0.1105,0.035880158
0.111,0.039903294
0.1115,0.038390185
0.112,0.050006072
0.1125,0.050875003
0.113,0.052821567
0.1135,0.041488997
0.114,0.03626636
0.1145,0.027576394
0.115,0.039098841
