Time,Values
0,0.002249735
0.0005,0.013785335
0.001,0.003449783
0.0015,0.003741359
0.002,0.006749778
0.0025,0.01853071
0.003,0.019509359
0.0035,0.016117632
0.004,0.004889657
0.0045,0.004358179
0.005,0.004814339
0.0055,0.011630576
0.006,0.006478248
0.0065,0.007883862
0.007,0.006221983
0.0075,0.012211753
0.008,0.005765723
0.0085,0.001425272
0.009,-0.012471993
0.0095,-0.018585867
0.01,-0.02411539
0.0105,-0.011268948
0.011,-0.005039569
0.0115,0.004717789
0.012,0.002006465
0.0125,0.005259692
0.013,-0.001786189
0.0135,0.001428883
0.014,-0.005662877
0.0145,-0.00317545
0.015,-0.004417475
0.0155,0.009840109
0.016,0.013383773
0.0165,0.020977198
0.017,0.015062749
0.0175,0.01697391
0.018,0.005482612
0.0185,0.001155973
0.019,-0.011962786
0.0195,-0.009772723
0.02,-0.010442752
0.0205,0.00371474
0.021,0.004888933
0.0215,0.008029574
0.022,-0.003114317
0.0225,-0.001807044
0.023,-0.010264898
0.0235,-0.004457002
0.024,0.001251695
0.0245,0.014555441
0.025,0.008205953
0.0255,0.01076308
0.026,0.004184959
0.0265,0.011638308
0.027,0.013226146
0.0275,0.020324624
0.028,0.014011098
0.0285,0.024295017
0.029,0.03151162
0.0295,0.044565965
0.03,0.038720232
0.0305,0.038889439
0.031,0.02989507
0.0315,0.030943053
0.032,0.020850361
0.0325,0.019848127
0.033,0.017320342
0.0335,0.026737252
0.034,0.028145921
0.0345,0.029442386
0.035,0.015924155
0.0355,0.012830357
0.036,0.008097643
0.0365,0.00944755
0.037,0.000835742
0.0375,0.003035556
0.038,0.003609304
0.0385,0.015026806
0.039,0.021759679
0.0395,0.026509592
0.04,0.017724332
0.0405,0.014389404
0.041,0.0104749
0.0415,0.013705099
0.042,0.014699645
0.0425,0.022195976
0.043,0.02562022
0.0435,0.02475151
0.044,0.019134492
0.0445,0.014321162
0.045,0.011189762
0.0455,0.012856534
0.046,0.01286305
0.0465,0.007611698
0.047,0.000696549
0.0475,-0.006693912
0.048,-0.007891961
0.0485,-0.010020377
0.049,-0.007210152
0.0495,-0.01135227
0.05,-0.01712432
0.0505,-0.028874779
0.051,-0.028680537
0.0515,-0.03115618
0.052,-0.027834384
0.0525,-0.034006564
0.053,-0.031060655
0.0535,-0.034288088
0.054,-0.026286687
0.0545,-0.03003091
0.055,-0.02587277
0.0555,-0.024175924
0.056,-0.004647986
0.0565,-0.000931238
0.057,0.005730338
0.0575,-0.004471947
0.058,-0.004743939
0.0585,-0.017641172
0.059,-0.016170941
0.0595,-0.025715475
0.06,-0.017359843
0.0605,-0.018446441
0.061,-0.011016519
0.0615,-0.018234688
0.062,-0.015632027
0.0625,-0.026406704
0.063,-0.021179717
0.0635,-0.033180341
0.064,-0.033876909
0.0645,-0.044342837
0.065,-0.036446118
0.0655,-0.034602068
0.066,-0.02020553
0.0665,-0.020469189
0.067,-0.013421291
0.0675,-0.015659098
0.068,-0.004101467
0.0685,-0.003511311
0.069,0.005280692
0.0695,0.007640107
0.07,0.018621452
0.0705,0.021047248
0.071,0.026187347
0.0715,0.021697399
0.072,0.01854033
0.0725,0.008158645
0.073,0.001058239
0.0735,-0.004328314
0.074,-0.001002928
0.0745,0.003834344
0.075,0.004039694
0.0755,-0.002591169
0.076,-0.009343483
0.0765,-0.009828493
0.077,-0.01054183
0.0775,-0.00318925
0.078,0.00240298
0.0785,0.01217957
0.079,0.00848196
0.0795,0.008426967
0.08,-0.001719302
0.0805,0.000256693
0.081,-0.004322309
0.0815,0.001678958
0.082,0.000493116
0.0825,0.012864506
0.083,0.01497924
0.0835,0.026641719
0.084,0.01986778
0.0845,0.023888187
0.085,0.01228693
0.0855,0.016573144
0.086,0.005510224
0.0865,0.011703579
0.087,0.005036648
0.0875,0.015192817
0.088,0.003860652
0.0885,0.006451425
0.089,-0.005053636
0.0895,0.006418397
0.09,0.004100216
0.0905,0.013382882
0.091,0.001227711
0.0915,0.008752588
0.092,0.001263267
0.0925,0.011340834
0.093,0.005351439
0.0935,0.014157572
0.094,0.00584239
0.0945,0.015191924
0.095,0.008873325
0.0955,0.015289451
0.096,0.010527173
