,Time,Values
0,0,2.7028348
1,0.0005,2.717497556
2,0.001,2.712609971
3,0.0015,2.712609971
4,0.002,2.707722385
5,0.0025,2.693059629
6,0.003,2.697947214
7,0.0035,2.712609971
8,0.004,2.717497556
9,0.0045,2.722385142
10,0.005,2.732160313
11,0.0055,2.727272727
12,0.006,2.727272727
13,0.0065,2.732160313
14,0.007,2.732160313
15,0.0075,2.727272727
16,0.008,2.737047898
17,0.0085,2.741935484
18,0.009,2.741935484
19,0.0095,2.737047898
20,0.01,2.727272727
21,0.0105,2.727272727
22,0.011,2.727272727
23,0.0115,2.722385142
24,0.012,2.717497556
25,0.0125,2.717497556
26,0.013,2.722385142
27,0.0135,2.732160313
28,0.014,2.737047898
29,0.0145,2.732160313
30,0.015,2.727272727
31,0.0155,2.712609971
32,0.016,2.693059629
33,0.0165,2.697947214
34,0.017,2.707722385
35,0.0175,2.707722385
36,0.018,2.712609971
37,0.0185,2.717497556
38,0.019,2.707722385
39,0.0195,2.7028348
40,0.02,2.707722385
41,0.0205,2.7028348
42,0.021,2.712609971
43,0.0215,2.727272727
44,0.022,2.746823069
45,0.0225,2.751710655
46,0.023,2.751710655
47,0.0235,2.746823069
48,0.024,2.737047898
49,0.0245,2.722385142
50,0.025,2.717497556
51,0.0255,2.722385142
52,0.026,2.727272727
53,0.0265,2.727272727
54,0.027,2.722385142
55,0.0275,2.712609971
56,0.028,2.7028348
57,0.0285,2.693059629
58,0.029,2.693059629
59,0.0295,2.688172043
60,0.03,2.693059629
61,0.0305,2.7028348
62,0.031,2.688172043
63,0.0315,2.683284457
64,0.032,2.688172043
65,0.0325,2.693059629
66,0.033,2.693059629
67,0.0335,2.697947214
68,0.034,2.693059629
69,0.0345,2.693059629
70,0.035,2.707722385
71,0.0355,2.722385142
72,0.036,2.732160313
73,0.0365,2.727272727
74,0.037,2.727272727
75,0.0375,2.722385142
76,0.038,2.717497556
77,0.0385,2.717497556
78,0.039,2.722385142
79,0.0395,2.722385142
80,0.04,2.722385142
81,0.0405,2.717497556
82,0.041,2.717497556
83,0.0415,2.712609971
84,0.042,2.717497556
85,0.0425,2.707722385
86,0.043,2.688172043
87,0.0435,2.683284457
88,0.044,2.697947214
89,0.0445,2.697947214
90,0.045,2.707722385
91,0.0455,2.712609971
92,0.046,2.712609971
93,0.0465,2.712609971
94,0.047,2.712609971
95,0.0475,2.712609971
96,0.048,2.717497556
97,0.0485,2.732160313
98,0.049,2.746823069
99,0.0495,2.741935484
100,0.05,2.737047898
101,0.0505,2.732160313
102,0.051,2.727272727
103,0.0515,2.732160313
104,0.052,2.737047898
105,0.0525,2.737047898
106,0.053,2.732160313
107,0.0535,2.727272727
108,0.054,2.727272727
109,0.0545,2.732160313
110,0.055,2.727272727
111,0.0555,2.722385142
112,0.056,2.717497556
113,0.0565,2.712609971
114,0.057,2.722385142
115,0.0575,2.722385142
116,0.058,2.707722385
117,0.0585,2.7028348
118,0.059,2.707722385
119,0.0595,2.707722385
120,0.06,2.712609971
121,0.0605,2.722385142
122,0.061,2.727272727
123,0.0615,2.727272727
124,0.062,2.732160313
125,0.0625,2.737047898
126,0.063,2.732160313
127,0.0635,2.732160313
128,0.064,2.737047898
129,0.0645,2.737047898
130,0.065,2.727272727
131,0.0655,2.717497556
132,0.066,2.707722385
133,0.0665,2.707722385
134,0.067,2.712609971
135,0.0675,2.717497556
136,0.068,2.722385142
137,0.0685,2.717497556
138,0.069,2.707722385
