,Time,Values
0,0,1.23655914
1,0.0005,1.246334311
2,0.001,1.246334311
3,0.0015,1.241446725
4,0.002,1.246334311
5,0.0025,1.256109482
6,0.003,1.251221896
7,0.0035,1.231671554
8,0.004,1.217008798
9,0.0045,1.221896383
10,0.005,1.231671554
11,0.0055,1.217008798
12,0.006,1.226783969
13,0.0065,1.23655914
14,0.007,1.226783969
15,0.0075,1.231671554
16,0.008,1.251221896
17,0.0085,1.260997067
18,0.009,1.270772239
19,0.0095,1.270772239
20,0.01,1.265884653
21,0.0105,1.275659824
22,0.011,1.304985337
23,0.0115,1.319648094
24,0.012,1.324535679
25,0.0125,1.324535679
26,0.013,1.329423265
27,0.0135,1.33431085
28,0.014,1.329423265
29,0.0145,1.309872923
30,0.015,1.28054741
31,0.0155,1.256109482
32,0.016,1.241446725
33,0.0165,1.23655914
34,0.017,1.23655914
35,0.0175,1.221896383
36,0.018,1.202346041
37,0.0185,1.177908113
38,0.019,1.153470186
39,0.0195,1.182795699
40,0.02,1.202346041
41,0.0205,1.202346041
42,0.021,1.221896383
43,0.0215,1.260997067
44,0.022,1.28054741
45,0.0225,1.290322581
46,0.023,1.285434995
47,0.0235,1.265884653
48,0.024,1.256109482
49,0.0245,1.260997067
50,0.025,1.251221896
51,0.0255,1.231671554
52,0.026,1.217008798
53,0.0265,1.207233627
54,0.027,1.19257087
55,0.0275,1.187683284
56,0.028,1.202346041
57,0.0285,1.226783969
58,0.029,1.251221896
59,0.0295,1.270772239
60,0.03,1.285434995
61,0.0305,1.28054741
62,0.031,1.270772239
63,0.0315,1.275659824
64,0.032,1.256109482
65,0.0325,1.226783969
66,0.033,1.23655914
67,0.0335,1.256109482
68,0.034,1.256109482
69,0.0345,1.256109482
70,0.035,1.23655914
71,0.0355,1.19257087
72,0.036,1.177908113
73,0.0365,1.202346041
74,0.037,1.23655914
75,0.0375,1.275659824
76,0.038,1.309872923
77,0.0385,1.304985337
78,0.039,1.265884653
79,0.0395,1.231671554
80,0.04,1.221896383
81,0.0405,1.217008798
82,0.041,1.231671554
83,0.0415,1.246334311
84,0.042,1.23655914
85,0.0425,1.23655914
86,0.043,1.265884653
87,0.0435,1.300097752
88,0.044,1.319648094
89,0.0445,1.314760508
90,0.045,1.290322581
91,0.0455,1.265884653
92,0.046,1.251221896
93,0.0465,1.290322581
94,0.047,1.324535679
95,0.0475,1.314760508
96,0.048,1.295210166
97,0.0485,1.275659824
98,0.049,1.256109482
99,0.0495,1.256109482
100,0.05,1.241446725
101,0.0505,1.207233627
