,Time,Values
0,0,2.751710655
1,0.0005,2.75659824
2,0.001,2.761485826
3,0.0015,2.766373412
4,0.002,2.766373412
5,0.0025,2.766373412
6,0.003,2.766373412
7,0.0035,2.75659824
8,0.004,2.751710655
9,0.0045,2.751710655
10,0.005,2.75659824
11,0.0055,2.761485826
12,0.006,2.75659824
13,0.0065,2.751710655
14,0.007,2.751710655
15,0.0075,2.75659824
16,0.008,2.761485826
17,0.0085,2.761485826
18,0.009,2.75659824
19,0.0095,2.746823069
20,0.01,2.746823069
21,0.0105,2.737047898
22,0.011,2.741935484
23,0.0115,2.746823069
24,0.012,2.737047898
25,0.0125,2.732160313
26,0.013,2.737047898
27,0.0135,2.741935484
28,0.014,2.751710655
29,0.0145,2.761485826
30,0.015,2.766373412
31,0.0155,2.761485826
32,0.016,2.75659824
33,0.0165,2.761485826
34,0.017,2.766373412
35,0.0175,2.761485826
36,0.018,2.75659824
37,0.0185,2.751710655
38,0.019,2.751710655
39,0.0195,2.746823069
40,0.02,2.746823069
41,0.0205,2.746823069
42,0.021,2.741935484
43,0.0215,2.741935484
44,0.022,2.737047898
45,0.0225,2.727272727
46,0.023,2.727272727
47,0.0235,2.732160313
48,0.024,2.727272727
49,0.0245,2.727272727
50,0.025,2.732160313
51,0.0255,2.732160313
52,0.026,2.732160313
53,0.0265,2.737047898
54,0.027,2.732160313
55,0.0275,2.732160313
56,0.028,2.732160313
57,0.0285,2.732160313
58,0.029,2.732160313
59,0.0295,2.727272727
60,0.03,2.727272727
61,0.0305,2.727272727
62,0.031,2.732160313
63,0.0315,2.737047898
64,0.032,2.741935484
65,0.0325,2.751710655
66,0.033,2.761485826
67,0.0335,2.771260997
68,0.034,2.781036168
69,0.0345,2.781036168
70,0.035,2.781036168
71,0.0355,2.776148583
72,0.036,2.771260997
73,0.0365,2.771260997
74,0.037,2.771260997
75,0.0375,2.766373412
76,0.038,2.761485826
77,0.0385,2.761485826
78,0.039,2.75659824
79,0.0395,2.75659824
80,0.04,2.751710655
81,0.0405,2.737047898
82,0.041,2.727272727
83,0.0415,2.732160313
84,0.042,2.741935484
85,0.0425,2.746823069
86,0.043,2.741935484
87,0.0435,2.732160313
88,0.044,2.732160313
89,0.0445,2.727272727
90,0.045,2.727272727
91,0.0455,2.722385142
92,0.046,2.722385142
93,0.0465,2.732160313
94,0.047,2.737047898
95,0.0475,2.741935484
96,0.048,2.737047898
97,0.0485,2.732160313
98,0.049,2.727272727
99,0.0495,2.722385142
100,0.05,2.737047898
101,0.0505,2.75659824
102,0.051,2.761485826
103,0.0515,2.761485826
104,0.052,2.75659824
105,0.0525,2.751710655
106,0.053,2.751710655
107,0.0535,2.751710655
108,0.054,2.75659824
109,0.0545,2.761485826
110,0.055,2.776148583
111,0.0555,2.781036168
112,0.056,2.776148583
113,0.0565,2.761485826
114,0.057,2.75659824
115,0.0575,2.75659824
116,0.058,2.751710655
117,0.0585,2.751710655
118,0.059,2.751710655
119,0.0595,2.741935484
120,0.06,2.737047898
121,0.0605,2.732160313
122,0.061,2.727272727
123,0.0615,2.722385142
124,0.062,2.717497556
125,0.0625,2.722385142
126,0.063,2.717497556
127,0.0635,2.722385142
128,0.064,2.737047898
129,0.0645,2.741935484
130,0.065,2.751710655
131,0.0655,2.761485826
132,0.066,2.761485826
133,0.0665,2.766373412
134,0.067,2.771260997
135,0.0675,2.776148583
136,0.068,2.781036168
137,0.0685,2.785923754
138,0.069,2.785923754
139,0.0695,2.781036168
140,0.07,2.771260997
141,0.0705,2.75659824
142,0.071,2.751710655
143,0.0715,2.746823069
144,0.072,2.741935484
145,0.0725,2.741935484
146,0.073,2.741935484
147,0.0735,2.741935484
148,0.074,2.737047898
149,0.0745,2.727272727
150,0.075,2.727272727
151,0.0755,2.732160313
152,0.076,2.732160313
153,0.0765,2.727272727
154,0.077,2.732160313
155,0.0775,2.737047898
156,0.078,2.732160313
157,0.0785,2.727272727
158,0.079,2.727272727
159,0.0795,2.722385142
160,0.08,2.727272727
