,Time,Values
0,0,2.546432063
1,0.0005,2.551319648
2,0.001,2.551319648
3,0.0015,2.546432063
4,0.002,2.536656891
5,0.0025,2.541544477
6,0.003,2.541544477
7,0.0035,2.541544477
8,0.004,2.536656891
9,0.0045,2.52688172
10,0.005,2.52688172
11,0.0055,2.531769306
12,0.006,2.531769306
13,0.0065,2.52688172
14,0.007,2.52688172
15,0.0075,2.52688172
16,0.008,2.521994135
17,0.0085,2.52688172
18,0.009,2.531769306
19,0.0095,2.531769306
20,0.01,2.531769306
21,0.0105,2.536656891
22,0.011,2.541544477
23,0.0115,2.546432063
24,0.012,2.551319648
25,0.0125,2.546432063
26,0.013,2.546432063
27,0.0135,2.551319648
28,0.014,2.551319648
29,0.0145,2.546432063
30,0.015,2.541544477
31,0.0155,2.536656891
32,0.016,2.536656891
33,0.0165,2.531769306
34,0.017,2.52688172
35,0.0175,2.52688172
36,0.018,2.521994135
37,0.0185,2.517106549
38,0.019,2.512218964
39,0.0195,2.512218964
40,0.02,2.517106549
41,0.0205,2.521994135
42,0.021,2.521994135
43,0.0215,2.507331378
44,0.022,2.512218964
45,0.0225,2.521994135
46,0.023,2.521994135
47,0.0235,2.531769306
48,0.024,2.536656891
49,0.0245,2.536656891
50,0.025,2.531769306
51,0.0255,2.531769306
52,0.026,2.531769306
53,0.0265,2.536656891
54,0.027,2.546432063
55,0.0275,2.551319648
56,0.028,2.541544477
57,0.0285,2.536656891
58,0.029,2.536656891
59,0.0295,2.536656891
60,0.03,2.536656891
61,0.0305,2.531769306
62,0.031,2.536656891
63,0.0315,2.541544477
64,0.032,2.546432063
65,0.0325,2.546432063
66,0.033,2.541544477
67,0.0335,2.541544477
68,0.034,2.536656891
69,0.0345,2.536656891
70,0.035,2.52688172
71,0.0355,2.52688172
72,0.036,2.521994135
73,0.0365,2.521994135
74,0.037,2.52688172
75,0.0375,2.531769306
76,0.038,2.521994135
77,0.0385,2.517106549
78,0.039,2.521994135
79,0.0395,2.531769306
80,0.04,2.546432063
81,0.0405,2.556207234
82,0.041,2.556207234
83,0.0415,2.551319648
84,0.042,2.551319648
85,0.0425,2.551319648
86,0.043,2.551319648
87,0.0435,2.541544477
88,0.044,2.536656891
89,0.0445,2.541544477
90,0.045,2.546432063
91,0.0455,2.546432063
92,0.046,2.551319648
93,0.0465,2.551319648
94,0.047,2.541544477
95,0.0475,2.536656891
96,0.048,2.531769306
97,0.0485,2.52688172
98,0.049,2.531769306
99,0.0495,2.541544477
100,0.05,2.546432063
101,0.0505,2.546432063
102,0.051,2.551319648
103,0.0515,2.546432063
104,0.052,2.541544477
105,0.0525,2.536656891
106,0.053,2.521994135
107,0.0535,2.521994135
